Region,Year,Value,,Unit,Source,Updated at,Updated by
World,2018,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2020,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2025,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2030,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2035,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2040,0.09,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2045,0.075,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2050,0.06,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
World,2055,0.06,,Ratio,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,2060,0.06,,Ratio,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
