Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,Heat_High_Industrial,2018,54.69561093,,PJ,,,
BE,Heat_High_Industrial,2018,142.6112682,,PJ,,,
BG,Heat_High_Industrial,2018,23.3160603,,PJ,,,
CH,Heat_High_Industrial,2018,24.7189329,,PJ,,,
CZ,Heat_High_Industrial,2018,92.01573763,,PJ,,,
DE,Heat_High_Industrial,2018,750.0995304,,PJ,,,
DK,Heat_High_Industrial,2018,9.099528397,,PJ,,,
EE,Heat_High_Industrial,2018,1.758184779,,PJ,,,
ES,Heat_High_Industrial,2018,225.072044,,PJ,,,
FI,Heat_High_Industrial,2018,24.55280363,,PJ,,,
FR,Heat_High_Industrial,2018,290.4678718,,PJ,,,
GR,Heat_High_Industrial,2018,17.30871112,,PJ,,,
HR,Heat_High_Industrial,2018,10.69091211,,PJ,,,
HU,Heat_High_Industrial,2018,38.04805653,,PJ,,,
IE,Heat_High_Industrial,2018,14.94430221,,PJ,,,
IT,Heat_High_Industrial,2018,319.1226415,,PJ,,,
LT,Heat_High_Industrial,2018,8.700075417,,PJ,,,
LU,Heat_High_Industrial,2018,13.55533075,,PJ,,,
LV,Heat_High_Industrial,2018,7.041746621,,PJ,,,
NL,Heat_High_Industrial,2018,156.5117645,,PJ,,,
NO,Heat_High_Industrial,2018,37.61016081,,PJ,,,
NONEU_Balkan,Heat_High_Industrial,2018,34.79654658,,PJ,,,
PL,Heat_High_Industrial,2018,221.402611,,PJ,,,
PT,Heat_High_Industrial,2018,33.25987439,,PJ,,,
RO,Heat_High_Industrial,2018,98.58409926,,PJ,,,
SE,Heat_High_Industrial,2018,39.10836053,,PJ,,,
SI,Heat_High_Industrial,2018,12.34190511,,PJ,,,
SK,Heat_High_Industrial,2018,78.5204783,,PJ,,,
TR,Heat_High_Industrial,2018,205.6021798,,PJ,,,
UK,Heat_High_Industrial,2018,298.7568446,,PJ,,,
AT,Heat_Low_Industrial,2018,8.307558396,,PJ,,,
BE,Heat_Low_Industrial,2018,29.42907081,,PJ,,,
BG,Heat_Low_Industrial,2018,21.82901499,,PJ,,,
CH,Heat_Low_Industrial,2018,10.28950564,,PJ,,,
