Technology,Storage,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2018,0.97,,Fraction,Energy Agency Denmark (2024)- Li-Ion Battery - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Li-Ion,S_Battery_Li-Ion,2,All,0.98,,Fraction,Energy Agency Denmark (2024)- Li-Ion Battery - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,All,0.9,,Fraction,Viswanathan et al. (2022): Publication No: PNNL-33283- Assumption: 80% RTE- charge and discharge same,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2035,0.91125,,Fraction,Huang et al. (2023): https://doi.org/10.1016/j.electacta.2023.143025- Possible RTE improvements of 9%- interpolated until 2050,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2040,0.9225,,Fraction,Huang et al. (2023): https://doi.org/10.1016/j.electacta.2023.143025- Possible RTE improvements of 9%- interpolated until 2051,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2045,0.93375,,Fraction,Huang et al. (2023): https://doi.org/10.1016/j.electacta.2023.143025- Possible RTE improvements of 9%- interpolated until 2052,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2050,0.945,,Fraction,Huang et al. (2023): https://doi.org/10.1016/j.electacta.2023.143025- Possible RTE improvements of 9%- interpolated until 2053,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2018,0.756,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2020,0.8,,Fraction,Energy Agency Denmark (2024)- CAES - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2025,0.82,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2030,0.84,,Fraction,Energy Agency Denmark (2024)- CAES - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2035,0.8425,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2040,0.845,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2045,0.8475,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2050,0.85,,Fraction,Energy Agency Denmark (2024)- CAES - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,2,All,1,,Fraction,Energy Agency Denmark (2024)- Hydrogen Storage Caverns,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,2,All,1,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_HB_Tank_Small,S_HB_Tank_Small,2,All,1,,Fraction,Energy Agency Denmark (2024): Small Hot Water Tank,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_HD_Pit,S_HD_Pit,2,All,0.84,,Fraction,Energy Agency Denmark (2024): PTES round-trip efficiency 70 percent,26.11.2024,Stian Backe <stian.backe@sintef.no>
D_HLI_Tank_Large,S_HLI_Tank_Large,2,All,1,,Fraction,Energy Agency Denmark (2024): Large Hot Water Tank,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_PHS,S_PHS,2,All,0.9,,Fraction,Rozali et al. (2013): ISBN 978-88-95608-26-6,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
